City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,torres,-29.3353,-49.7269,16.73,69,0,3.33,BR,1725294600
225,livani,56.3543,26.1758,18.5,73,54,2.78,LV,1725294600
226,prineville,44.2999,-120.8345,23.39,30,0,3.09,US,1725294600
227,arraial do cabo,-22.9661,-42.0278,23.98,78,40,10.29,BR,1725294600
228,vallenar,-28.5708,-70.7581,25.81,26,0,3.24,CL,1725294600
229,topoloveni,44.8167,25.0833,26.23,38,71,3.67,RO,1725294601
230,i-n-salah,27.1935,2.4607,41.46,11,40,4.31,DZ,1725294601
231,al mutayrifi,25.4788,49.5576,39.19,44,58,2.88,SA,1725294601
232,utrik,11.2278,169.8474,28.07,78,9,2.24,MH,1725294601
233,markovo,57.3206,107.0881,8.62,85,100,2.06,RU,1725294601
234,buchanan,5.8808,-10.0467,25.62,80,91,4.2,LR,1725294601
235,bandarbeyla,9.4942,50.8122,24.66,75,87,13.81,SO,1725294601
236,daru,-9.0763,143.2092,25.07,90,100,7.13,PG,1725294601
237,yaren,-0.5472,166.916,27.69,77,100,4.11,NR,1725294601
238,shingu,33.7333,135.9833,24.63,91,49,1.62,JP,1725294601
239,enewetak,11.3474,162.3373,28.0,74,33,2.12,MH,1725294601
240,barcelos,41.5388,-8.6151,23.42,55,56,7.73,PT,1725294586
241,saudarkrokur,65.7461,-19.6394,9.18,90,100,3.09,IS,1725294601
242,siem reap,13.5,104.0,24.91,95,100,1.39,KH,1725294601
243,kolpashevo,58.3131,82.9089,6.51,97,100,4.87,RU,1725294602
244,longboat key,27.4125,-82.659,30.05,51,75,7.2,US,1725294602
245,kourou,5.1552,-52.6478,30.45,61,37,4.1,GF,1725294602
246,lucapa,-8.4192,20.7447,27.64,29,71,1.86,AO,1725294602
247,spas-demensk,54.4122,34.0226,19.52,53,100,3.26,RU,1725294602
248,tura,25.5198,90.2201,24.71,90,92,1.07,IN,1725294602
249,agustin codazzi,10.0341,-73.2361,33.19,46,71,2.38,CO,1725294602
250,sinabang,2.4803,96.3801,26.85,82,99,1.87,ID,1725294602
251,vila franca do campo,37.7167,-25.4333,24.23,58,74,4.52,PT,1725294602
252,ko pha ngan,9.7578,100.0291,24.84,78,100,8.35,TH,1725294365
253,queenstown,-31.8976,26.8753,18.07,26,0,1.17,ZA,1725294602
254,tchaourou,8.8865,2.5975,25.91,80,86,1.83,BJ,1725294602
255,katsuura,35.1333,140.3,25.34,94,72,9.32,JP,1725294602
256,khulm,36.6974,67.6983,27.11,17,0,2.91,AF,1725294602
257,tralee,52.2704,-9.7026,16.14,63,75,3.6,IE,1725294603
258,nagqu,31.5,92.0,4.94,94,100,1.04,CN,1725294603
259,antsiranana,-12.2787,49.2917,23.5,75,20,5.96,MG,1725294603
260,olinda,-8.0089,-34.8553,28.85,54,75,7.2,BR,1725294603
261,silifke,36.3778,33.9344,26.36,75,0,3.52,TR,1725294603
262,weyburn,49.6668,-103.8511,20.12,52,6,5.66,CA,1725294603
263,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,75,2.0,RU,1725294603
264,florence,43.7667,11.25,30.67,51,0,2.06,IT,1725294604
265,koryazhma,61.3143,47.1691,14.8,91,76,2.19,RU,1725294604
266,pisco,-13.7,-76.2167,19.03,68,20,3.6,PE,1725294604
267,oak hill,37.9723,-81.1487,19.73,90,100,2.73,US,1725294332
268,okhotsk,59.3833,143.3,10.69,84,100,5.63,RU,1725294604
269,lihue,21.9789,-159.3672,25.77,81,0,5.14,US,1725294604
270,pedernales,18.0384,-71.744,31.44,61,3,4.24,DO,1725294604
271,carnarvon,-24.8667,113.6333,20.36,75,0,4.85,AU,1725294604
272,terbanggi besar,-4.8667,105.2333,25.49,84,56,3.7,ID,1725294604
273,thunder bay,48.4001,-89.3168,19.99,56,20,4.63,CA,1725294316
274,nova sintra,14.8667,-24.7167,26.01,81,79,7.9,CV,1725294604
275,anuppur,23.1,81.6833,24.33,91,56,2.87,IN,1725294604
276,sukuta,13.4103,-16.7082,27.3,79,100,2.77,GM,1725294604
277,sirre,8.3167,39.4833,17.97,82,87,1.44,ET,1725294604
278,igarka,67.4667,86.5833,7.61,70,100,0.9,RU,1725294605
279,orkney,-26.9802,26.6727,19.66,25,0,2.12,ZA,1725294605
280,sao jose da tapera,-9.5583,-37.3811,31.38,29,7,6.31,BR,1725294605
281,huarmey,-10.0681,-78.1522,19.97,71,51,4.85,PE,1725294605
282,kavaratti,10.5669,72.642,26.71,88,99,5.2,IN,1725294605
283,labuan,5.2767,115.2417,27.2,89,20,0.0,MY,1725294605
284,kuanda,56.3161,116.0806,12.14,75,81,0.54,RU,1725294605
285,burlington,39.8835,-74.6413,25.03,55,20,6.17,US,1725294392
286,salalah,17.0151,54.0924,27.05,89,100,1.54,OM,1725294605
287,mujiayingzi,42.1167,118.7833,14.08,74,8,2.83,CN,1725294605
288,youhao,47.8667,128.8333,11.95,94,5,1.13,CN,1725294605
289,kingston,17.997,-76.7936,32.31,70,20,6.69,JM,1725294495
290,alo,6.5486,4.2686,25.96,78,70,4.36,NG,1725294605
291,gaillimh,53.2719,-9.0489,15.68,67,6,5.37,IE,1725294606
292,rehoboth,-23.3167,17.0833,22.98,13,2,5.89,,1725294606
293,la'ie,21.6477,-157.9253,26.66,83,28,1.79,US,1725294606
294,brigantine,39.4101,-74.3646,25.01,55,0,5.66,US,1725294425
295,uturoa,-16.7333,-151.4333,25.11,73,85,10.88,PF,1725294606
296,peniche,39.3558,-9.3811,21.78,75,6,9.91,PT,1725294606
297,saida,34.8303,0.1517,30.48,42,8,5.88,DZ,1725294606
298,larkird,35.4894,66.6641,12.84,44,0,1.57,AF,1725294606
299,mahdia,35.5047,11.0622,29.99,57,53,4.42,TN,1725294606
300,shuangjiang,26.1547,109.7138,24.59,82,49,1.05,CN,1725294606
301,inari,68.906,27.0288,15.12,74,11,1.75,FI,1725294606
302,caxias,38.7031,-9.2767,23.89,57,20,10.8,PT,1725294606
303,egilsstadir,65.2653,-14.3948,11.95,82,100,1.54,IS,1725294607
304,fortuna,40.5982,-124.1573,14.4,97,100,0.0,US,1725294607
305,saint-francois,46.4154,3.9054,28.14,50,0,1.54,FR,1725294607
306,kiunga,-6.1219,141.2906,23.24,100,100,1.22,PG,1725294607
307,mermoz boabab,14.7065,-17.4758,30.88,66,20,3.09,SN,1725294607
308,pandan,14.0453,124.1694,26.81,85,100,6.22,PH,1725294607
309,amahai,-3.3333,128.9167,24.7,90,89,0.76,ID,1725294607
310,benguela,-12.5763,13.4055,22.04,83,14,2.66,AO,1725294607
311,altamont,42.2068,-121.7372,20.55,50,0,1.34,US,1725294607
312,coquimbo,-29.9533,-71.3436,15.55,65,40,1.54,CL,1725294607
313,san pedro pochutla,15.7333,-96.4667,29.28,57,100,1.7,MX,1725294607
314,port macquarie,-31.4333,152.9167,14.48,43,0,0.89,AU,1725294607
315,serafimovskiy,54.4241,53.7964,12.5,58,0,1.16,RU,1725294607
316,maragogi,-9.0122,-35.2225,25.88,60,10,5.38,BR,1725294608
317,canoinhas,-26.1772,-50.39,27.46,18,18,2.02,BR,1725294608
318,fort st. john,56.2499,-120.8529,15.94,63,75,4.12,CA,1725294608
319,chiredzi,-21.05,31.6667,20.16,33,0,2.29,ZW,1725294608
320,la ronge,55.1001,-105.2842,22.14,46,40,1.54,CA,1725294608
321,susuman,62.7833,148.1667,7.64,90,100,3.1,RU,1725294608
322,afaahiti,-17.75,-149.2833,22.55,76,97,12.23,PF,1725294608
323,vilyuchinsk,52.9306,158.4028,13.15,73,94,2.33,RU,1725294608
324,ciudad satelite,19.5167,-99.25,18.28,72,100,0.99,MX,1725294608
325,kurikka,62.6167,22.4167,18.24,90,56,2.41,FI,1725294608
326,celestun,20.8667,-90.4,31.1,64,81,2.75,MX,1725294608
327,sena madureira,-9.0656,-68.6569,40.11,14,12,2.12,BR,1725294609
328,port elizabeth,-33.918,25.5701,19.16,89,0,8.75,ZA,1725294562
329,kochenevo,55.0218,82.202,8.66,92,100,9.79,RU,1725294609
330,kayangel,8.0823,134.7173,28.97,69,77,3.96,PW,1725294609
331,kingman,35.1894,-114.053,31.74,12,0,2.06,US,1725294609
332,yigo village,13.5361,144.8886,27.16,79,75,2.57,GU,1725294609
333,ixtapa,20.7,-105.2,30.13,79,75,2.57,MX,1725294609
334,lae,-6.7221,146.9847,21.96,93,100,2.91,PG,1725294609
335,ouani,-12.1322,44.4258,24.47,76,21,4.43,KM,1725294609
336,puerto ayora,-0.7393,-90.3518,21.97,80,93,0.89,EC,1725294551
337,uberaba,-19.7483,-47.9319,33.32,10,0,3.09,BR,1725294377
338,vel'sk,61.0701,42.0983,16.78,80,26,2.21,RU,1725294609
339,notse,6.95,1.1667,29.01,61,98,1.17,TG,1725294609
340,ancud,-41.8697,-73.8203,8.83,68,91,6.9,CL,1725294609
341,lakatoro,-16.0999,167.4164,24.53,70,72,6.12,VU,1725294610
342,haiku-pauwela,20.9219,-156.3051,23.47,84,0,5.66,US,1725294610
343,al fqih ben calah,32.5009,-6.6906,37.7,21,1,8.05,MA,1725294610
344,chul'man,56.8479,124.9104,8.06,94,91,1.61,RU,1725294610
345,nantucket,41.2835,-70.0995,22.06,73,100,9.26,US,1725294610
346,zag,46.9441,99.165,12.11,44,93,1.41,MN,1725294610
347,kidal,18.4411,1.4078,31.41,45,93,2.46,ML,1725294610
348,vizinga,61.0749,50.1031,13.55,82,95,2.1,RU,1725294610
349,revelstoke,50.9832,-118.2023,17.01,88,75,1.54,CA,1725294610
350,emmett,43.8735,-116.4993,24.8,32,100,2.24,US,1725294610
351,immokalee,26.4187,-81.4173,33.31,49,25,4.84,US,1725294611
352,baie-comeau,49.2168,-68.1489,13.82,77,100,8.75,CA,1725294419
353,agua de dios,4.3765,-74.67,32.54,39,4,1.8,CO,1725294611
354,berbera,10.4396,45.0143,33.59,44,27,2.32,SO,1725294611
355,tchollire,8.4022,14.1698,24.2,88,99,1.53,CM,1725294611
356,pasuquin,18.3328,120.6177,26.97,94,75,4.63,PH,1725294611
357,belmonte,-15.8631,-38.8828,26.33,55,75,4.24,BR,1725294611
358,mo i rana,66.3128,14.1428,19.26,67,40,4.63,NO,1725294611
359,buta,2.7858,24.73,24.36,81,91,0.51,CD,1725294611
360,jwaneng,-24.6004,24.7303,19.25,21,0,4.08,BW,1725294611
361,oranjemund,-28.55,16.4333,20.13,48,0,1.15,,1725294611
362,khandyga,62.6667,135.6,7.6,97,100,0.31,RU,1725294611
363,goundi,9.3627,17.366,23.25,92,99,1.8,TD,1725294611
364,kapoeta,4.7717,33.5903,26.45,61,55,1.61,SS,1725294611
365,ust-tsilma,65.441,52.1498,9.9,76,100,3.55,RU,1725294612
